value,footprint,quantity,references
SOLAR_PANEL_IN,Connector_JST:JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,['J1']
100k,Resistor_SMD:R_0805_2012Metric,3,"['Rg', 'R4', 'R5']"
CHG_OUT,Connector_JST:JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,['J2']
12k,Resistor_SMD:R_0805_2012Metric,1,['Rs']
NTC_10k_B3950_OFFBOARD,Connector_JST:JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,['TH1']
TL431,Package_TO_SOT_SMD:SOT-23,1,['D1']
AO3401,Package_TO_SOT_SMD:SOT-23,1,['Q1']
TLV3401,Package_TO_SOT_SMD:SOT-23-5,1,['U1']
270k,Resistor_SMD:R_0805_2012Metric,1,['Rf']
30k,Resistor_SMD:R_0805_2012Metric,3,"['R3', 'R2', 'R1']"
100nF,Capacitor_SMD:C_0805_2012Metric,1,['C1']
TELEM_OUT,Connector_JST:JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,['J4']
10nF,Capacitor_SMD:C_0805_2012Metric,1,['C2']
